no,year,rice,wheat,soybeans,japanese radishes,potatoes,cabbages,tomatoes,mandarins,apples,sugar beets
1,1971,2695,330,101,81.4,155.7,44.9,19.9,144.2,54.8,54.3
2,1972,2640,235,89,79.8,152,44.3,19.2,151,53.3,57.8
3,1973,2620,155,88,76,147.1,42,18.8,156.3,51.6,61.8
4,1974,2724,160,93,74.4,138.5,41.7,18.2,160.3,50.1,47.5
5,1975,2764,168,87,73.2,139.1,41.1,19,160.7,48.6,48.1
6,1976,2779,169,83,73.5,137.6,41.5,18.1,157.7,47.5,42.4
7,1977,2757,164,79,72.8,131.4,41.6,18.1,153.9,46.6,49.3
8,1978,2548,208,127,70.9,128.1,41.6,18.6,149.4,46.9,57.8
9,1979,2497,265,130,71.1,125.1,42.3,19,143.4,46.5,58.9
10,1980,2377,313,142,72.6,123.4,42.6,19.3,135,46.4,65
11,1981,2278,347,149,71.5,125.6,43.3,18.3,128,46.6,74
12,1982,2257,351,147,69.9,127.2,42.8,17,120.9,47,69.7
13,1983,2273,353,143,68.5,127.8,43,15.8,115.9,47.3,73
14,1984,2315,349,134,68.5,130.9,43.2,15.3,111.1,47.4,75.2
15,1985,2342,347,134,66.9,130.1,42.4,15.3,106.9,47.9,72.5
16,1986,2303,353,138,66.3,130.1,42.2,15.2,103,48.6,72.1
17,1987,2146,383,163,64.9,127.5,41.5,15.1,99.7,49.3,71.5
18,1988,2110,396,162,63.2,124.7,41.2,14.9,94.7,49.6,71.9
19,1989,2097,397,152,62.3,119.8,41.4,14.5,78.8,49.9,71.9
20,1990,2074,366,146,60.9,115.8,40.4,14.2,74.1,49.7,72
21,1991,2049,334,141,59.8,111.8,40.8,14.1,71.7,49.4,71.9
22,1992,2106,299,110,58.5,111.4,41.1,14,69.3,48.9,70.6
23,1993,2139,261,87,56.6,111.2,40,14,68.5,48.5,70.1
24,1994,2212,214,61,54.8,108.2,39.3,13.8,67,48.2,69.8
25,1995,2118,210,69,53.3,104.4,39.3,13.7,65.4,47.7,70
26,1996,1977,216,82,51.8,103,38.9,13.8,63.5,47.2,69.7
27,1997,1953,215,83,49.8,103,37.9,13.7,62,46.6,68.5
28,1998,1801,217,109,48.5,99.9,37.5,13.6,60.6,45.5,70.2
29,1999,1788,221,108,47.7,97.7,37.4,13.6,59.7,44.6,70
30,2000,1770,237,123,45.7,94.6,36.9,13.6,58.4,43.9,69.2
31,2001,1706,257,144,44.1,92.9,35.8,13.6,56.3,43.1,66
32,2002,1688,272,150,42.5,92.1,34.9,13.3,55,42.4,66.6
33,2003,1665,276,152,41.5,88.3,34.4,13.2,53.7,41.6,67.9
34,2004,1701,272,137,40,87.2,33.3,13.1,52.3,41.3,68
35,2005,1706,268,134,39.1,86.9,33.5,13,51.5,40.8,67.5
36,2006,1688,272,142,38.3,86.6,33,12.9,50.3,40.3,67.4
37,2007,1673,264,138,37.2,87.4,32.7,12.7,49.3,39.9,66.6
38,2008,1627,265,147,36.6,84.9,33,12.5,48.3,39.5,66
39,2009,1624,266,145,36.4,83.1,33.2,12.4,47,38.8,64.5
40,2010,1628,266,138,35.7,82.5,33.3,12.3,46.1,38.1,62.6
41,2011,1576,272,137,34.9,81,33.7,12,45.3,37.8,60.5
42,2012,1581,270,131,34.4,81.2,34.1,12,44.6,37.4,59.3
43,2013,1599,270,129,33.7,79.7,34.3,12.1,43.7,37.2,58.2
44,2014,1575,273,132,33.3,78.3,34.7,12.1,42.9,37.1,57.4
45,2015,1506,274,142,32.9,77.4,34.7,12.1,42.2,37,58.8
46,2016,1479,276,150,32.3,77.2,34.6,12.1,41.5,36.8,59.7
47,2017,1466,274,150,32,77.2,34.8,12,40.6,36.5,58.2
48,2018,1470,273,147,31.4,76.5,34.6,11.8,39.6,36.2,57.3
49,2019,1470,273,144,30.9,74.4,34.6,11.6,38.7,36,56.7
50,2020,1462,276,142,29.8,71.9,34,11.4,37.8,35.8,56.8
51,2021,1404,283,146,29.2,70.9,34.3,11.4,37,35.3,57.7
52,2022,,,,,,,,,,
53,2023,,,,,,,,,,
54,2024,,,,,,,,,,
