No,year,month,area,rice,instant coffee,coffee bean,cabbage
1,1970,1,東京都区部,43,52.7,,27.7
2,1970,2,東京都区部,43.7,52.7,,36.8
3,1970,3,東京都区部,43.7,52.7,,45.4
4,1970,4,東京都区部,43.6,52.7,,54.4
5,1970,5,東京都区部,43.6,52.7,,22.7
6,1970,6,東京都区部,43.9,52.7,,16.4
7,1970,7,東京都区部,43.9,52.7,,32.6
8,1970,8,東京都区部,43.9,53.5,,23.3
9,1970,9,東京都区部,44,53.5,,25.9
10,1970,10,東京都区部,44,53.8,,58.4
11,1970,11,東京都区部,44,54.3,,53.0
12,1970,12,東京都区部,44,54.3,,44.0
13,1971,1,東京都区部,44.1,55.2,,49
14,1971,2,東京都区部,44.1,55.2,,43.4
15,1971,3,東京都区部,44.1,55.2,,31.5
16,1971,4,東京都区部,44.1,55.2,,33.3
17,1971,5,東京都区部,44.1,55.2,,19.7
18,1971,6,東京都区部,44.1,55.2,,20.8
19,1971,7,東京都区部,44.1,55.5,,16.4
20,1971,8,東京都区部,44.1,55.5,,16.2
21,1971,9,東京都区部,44,55.5,,30.1
22,1971,10,東京都区部,44.4,55.5,,52.7
23,1971,11,東京都区部,44.2,55.5,,32.3
24,1971,12,東京都区部,44.2,54.9,,28.5
25,1972,1,東京都区部,44.2,54.9,,24.9
26,1972,2,東京都区部,44.2,54.6,,13.5
27,1972,3,東京都区部,44.2,54.6,,23.8
28,1972,4,東京都区部,44.2,54.6,,30.1
29,1972,5,東京都区部,44.4,54.6,,35.2
30,1972,6,東京都区部,45,54.6,,22.6
31,1972,7,東京都区部,44.9,54.5,,17
32,1972,8,東京都区部,45,54.3,,29.9
33,1972,9,東京都区部,45,54.3,,23.8
34,1972,10,東京都区部,48.7,54.3,,16.8
35,1972,11,東京都区部,48.7,54.3,,14.1
36,1972,12,東京都区部,48.8,54.3,,18.2
37,1973,1,東京都区部,48.9,54.3,,18.2
38,1973,2,東京都区部,49.1,54.4,,20.5
39,1973,3,東京都区部,49.3,54.4,,40.1
40,1973,4,東京都区部,49.3,54.4,,56.5
41,1973,5,東京都区部,49.3,54.4,,72.4
42,1973,6,東京都区部,49.4,53.9,,29.3
43,1973,7,東京都区部,49.4,53.9,,35.1
44,1973,8,東京都区部,49.4,53.9,,35
45,1973,9,東京都区部,49.4,53.9,,38.4
46,1973,10,東京都区部,49.9,53.9,,28.9
47,1973,11,東京都区部,50.9,53.8,,22
48,1973,12,東京都区部,51.6,54.8,,37.2
49,1974,1,東京都区部,51.7,58.6,,61.6
50,1974,2,東京都区部,52,64,,93.3
51,1974,3,東京都区部,52,63.6,,79.9
52,1974,4,東京都区部,51.8,65.1,,132.5
53,1974,5,東京都区部,52.1,65.6,,36.4
54,1974,6,東京都区部,52.1,65.3,,23.1
55,1974,7,東京都区部,52.1,64.7,,49.7
56,1974,8,東京都区部,52.1,65.1,,54
57,1974,9,東京都区部,52.1,65.3,,48.4
58,1974,10,東京都区部,67.8,64.7,,42.9
59,1974,11,東京都区部,68.2,64.9,,29.9
60,1974,12,東京都区部,68.2,65,,33.9
61,1975,1,東京都区部,67.9,64.9,,36.3
62,1975,2,東京都区部,67.9,68.2,,38.9
63,1975,3,東京都区部,68.5,71,,48.1
64,1975,4,東京都区部,68.5,72.9,,43.5
65,1975,5,東京都区部,68.5,75.4,,34.7
66,1975,6,東京都区部,68.5,75.6,,24.4
67,1975,7,東京都区部,68.5,75.9,,35.5
68,1975,8,東京都区部,68.5,74,,27.6
69,1975,9,東京都区部,77.5,75.5,,28.1
70,1975,10,東京都区部,78.6,74.6,,34.7
71,1975,11,東京都区部,79.2,74.5,,58.8
72,1975,12,東京都区部,79.3,74.7,,85.5
73,1976,1,東京都区部,79.3,74.7,,105.7
74,1976,2,東京都区部,79.3,75.3,,123.8
75,1976,3,東京都区部,79.3,75.6,,89.8
76,1976,4,東京都区部,79.3,76.7,,169.1
77,1976,5,東京都区部,79.3,78.1,,83.5
78,1976,6,東京都区部,79.3,79.4,,54.8
79,1976,7,東京都区部,79.3,80.1,,61.3
80,1976,8,東京都区部,79.3,80.6,,30.4
81,1976,9,東京都区部,86.2,81.5,,37.7
82,1976,10,東京都区部,87.4,83.9,,35.4
83,1976,11,東京都区部,87.7,84.1,,26.7
84,1976,12,東京都区部,87.9,84.1,,32.6
85,1977,1,東京都区部,88.1,84.6,,54.2
86,1977,2,東京都区部,88.1,88.1,,100.6
87,1977,3,東京都区部,88.1,96.2,,90.8
88,1977,4,東京都区部,88.2,100.3,,78.9
89,1977,5,東京都区部,88.2,101.7,,56.8
90,1977,6,東京都区部,88.2,114,,63.2
91,1977,7,東京都区部,88.2,127.1,,41.4
92,1977,8,東京都区部,88.2,129.7,,53.8
93,1977,9,東京都区部,94,136.4,,95.4
94,1977,10,東京都区部,95.9,138.2,,67.2
95,1977,11,東京都区部,96,139.6,,34.5
96,1977,12,東京都区部,96.2,141.7,,35.1
97,1978,1,東京都区部,96.2,142.3,,39.3
98,1978,2,東京都区部,96.2,141.6,,50.1
