year,Advanced,Developing,World
1980,10308.953,885.7,2863.027
1981,10393.803,909.671,2879.483
1982,10251.829,843.608,2775.621
1983,10602.027,812.812,2800.48
1984,11026.14,798.028,2850.684
1985,11544.87,792.001,2924.417
1986,14017.159,794.766,3381.137
1987,16206.809,858.57,3825.176
1988,18193.896,928.752,4229.276
1989,18845.65,994.67,4371.092
1990,20980.023,1069.222,4701.123
1991,22206.975,994.319,4833.492
1992,23452.532,955.32,4808.716
1993,23286.091,1068.869,4865.899
1994,24838.835,1132.996,5143.237
1995,26932.729,1278.8,5638.384
1996,26950.784,1404.593,5706.459
1997,26263.189,1466.987,5603.141
1998,26205,1380.91,5459.264
1999,27433.364,1318.618,5580.423
2000,27733.465,1424.051,5685.367
2001,27274.175,1411.125,5573.199
2002,28276.648,1378.761,5666.925
2003,31528.421,1528.02,6259.559
2004,34770.004,1790.44,6958.197
2005,36354.823,2111.493,7444.741
2006,37985.876,2463.893,7963.61
2007,41221.389,2995.563,8880.476
2008,43258.493,3544.956,9621.091
2009,40570.265,3341.4,9001.813
2010,42154.363,3963.806,9729.716
2011,45011.518,4619.364,10693.364
2012,44632.763,4818.41,10747.838
2013,44832.244,5043.458,10922.701
2014,45647.709,5136.287,11077.174
2015,42967.254,4765.292,10330.08
2016,43894.075,4708.569,10378.001
2017,45602.87,5088.411,10905.997
2018,48077.036,5363.933,11456.93
2019,48349.97,5414.923,11500.192
2020,47219.637,5151.745,11077.299
2021,52474.214,5971.517,12468.435
2022,53128.701,6357.249,12895.375
2023,55920.76,6454.751,13332.788
