,Entity,Code,Year,other_renewables_consumption_equivalent_twh,biofuels_consumption_twh,solar_consumption_equivalent_twh,wind_consumption_equivalent_twh,hydro_consumption_equivalent_twh,nuclear_consumption_equivalent_twh,gas_consumption_twh,coal_consumption_twh,oil_consumption_twh
4908,Philippines,PHL,1965,0.0,0.0,0.0,0.0,4.583333,0.0,0.0,0.5155231,57.4021
4909,Philippines,PHL,1966,0.0,0.0,0.0,0.0,4.4946237,0.0,0.0,0.48839027,63.940327
4910,Philippines,PHL,1967,0.0,0.0,0.0,0.0,4.967742,0.0,0.0,0.37985915,69.58127
4911,Philippines,PHL,1968,0.0,0.0,0.0,0.0,5.0860214,0.0,0.0,0.17364998,82.39472
4912,Philippines,PHL,1969,0.0,0.0,0.0,0.0,5.3669357,0.0,0.0,0.22791556,88.841705
4913,Philippines,PHL,1970,0.0,0.0,0.0,0.0,6.200806,0.0,0.0,0.22791556,90.00561
4914,Philippines,PHL,1971,0.0,0.0,0.0,0.0,5.7158604,0.0,0.0,0.22248888,97.47116
4915,Philippines,PHL,1972,0.0,0.0,0.0,0.0,6.5260754,0.0,0.0,0.21706222,102.89429
4916,Philippines,PHL,1973,0.0,0.0,0.0,0.0,7.019892,0.0,0.0,0.21706222,114.859406
4917,Philippines,PHL,1974,0.0,0.0,0.0,0.0,6.064785,0.0,0.0,0.30388722,107.578
4918,Philippines,PHL,1975,0.0,0.0,0.0,0.0,6.7182794,0.0,0.0,0.5752153,116.69448
4919,Philippines,PHL,1976,0.0,0.0,0.0,0.0,8.264785,0.0,0.0,0.68374634,119.770164
4920,Philippines,PHL,1977,0.0028375275,0.0,0.0,0.0,6.2510753,0.0,0.0,1.6876597,130.15947
4921,Philippines,PHL,1978,0.008512555,0.0,0.0,0.0,8.312097,0.0,0.0,1.5465689,134.74797
4922,Philippines,PHL,1979,1.8073266,0.0,0.0,0.0,8.519086,0.0,0.0,1.3512131,139.32352
4923,Philippines,PHL,1980,5.8022923,0.0,0.0,0.0,10.4145155,0.0,0.0,1.6279675,130.49712
4924,Philippines,PHL,1981,11.222556,0.0,0.0,0.0,11.014785,0.0,0.0,2.8218098,122.71493
4925,Philippines,PHL,1982,11.210625,0.0,0.0,0.0,11.15672,0.0,0.0,3.1474035,122.00833
4926,Philippines,PHL,1983,14.305629,0.0,0.0,0.0,11.733334,0.0,0.0,5.7304454,122.14317
4927,Philippines,PHL,1984,15.498038,0.0,0.0,0.0,15.606989,0.0,0.0,9.181736,99.97544
4928,Philippines,PHL,1985,17.212166,0.0,0.0,0.0,16.420162,0.0,0.0,12.985753,88.851875
4929,Philippines,PHL,1986,16.167591,0.0,0.0,0.0,17.792204,0.0,0.0,10.229061,93.15116
4930,Philippines,PHL,1987,14.025042,0.0,0.0,0.0,15.515323,0.0,0.0,10.880248,108.554855
4931,Philippines,PHL,1988,14.953802,0.0,0.0,0.0,18.52258,0.0,0.0,13.77803,117.035934
4932,Philippines,PHL,1989,16.317938,0.0,0.0,0.0,19.176075,0.0,0.0,10.891101,134.99716
4933,Philippines,PHL,1990,16.882177,0.0,0.0,0.0,17.925268,0.0,0.0,14.59565,138.08571
4934,Philippines,PHL,1991,16.338411,0.0,0.0,0.0,15.21371,0.0,0.0,17.89857,134.88847
4935,Philippines,PHL,1992,16.173836,0.0,0.0,0.0,13.129032,0.0,0.0,15.74702,153.05324
4936,Philippines,PHL,1993,16.080196,0.0,0.0,0.0,14.873655,0.0,0.0,17.479889,168.78471
4937,Philippines,PHL,1994,17.933094,0.0,0.0,0.0,17.33387,0.0,0.052871108,17.782269,173.19214
4938,Philippines,PHL,1995,17.408154,0.0,0.0,0.0,18.427958,0.0,0.050973054,19.119719,203.45428
4939,Philippines,PHL,1996,18.540323,0.0,0.0,0.0,20.787634,0.0,0.086220555,25.76045,211.86565
