iso3c,year,oil,wind,solar,otherrenewable,hydro,gas,bioenergy,nuclear,coal
ABW,2000,777,0,0,0,0,0,0,0,0
ABW,2001,808,0,0,0,0,0,0,0,0
ABW,2002,825,0,0,0,0,0,0,0,0
ABW,2003,842,0,0,0,0,0,0,0,0
ABW,2004,866,0,0,0,0,0,0,0,0
ABW,2005,910,0,0,0,0,0,0,0,0
ABW,2006,910,0,0,0,0,0,0,0,0
ABW,2007,936,0,0,0,0,0,0,0,0
ABW,2008,914,0,0,0,0,0,0,0,0
ABW,2009,908,17,0,0,0,0,0,0,0
ABW,2010,834,106,0,0,0,0,0,0,0
ABW,2011,818,112,0,0,0,0,0,0,0
ABW,2012,779,134,1,0,0,0,0,0,0
ABW,2013,777,149,2,0,0,0,0,0,0
ABW,2014,755,156,6,0,0,0,0,0,0
ABW,2015,756,166,10,0,0,0,0,0,0
ABW,2016,802,134,11,5,0,0,0,0,0
ABW,2017,834,133,11,0,0,0,0,0,0
ABW,2018,876,133,17,0,0,0,0,0,0
ABW,2019,888,133,24,0,0,0,0,0,0
ABW,2020,904,133,24,0,0,0,0,0,0
ABW,2021,904,133,24,0,0,0,0,0,0
AFG,2000,32,0,0,0,458,0,0,0,0
AFG,2001,32,0,0,0,458,0,0,0,0
AFG,2002,32,0,0,0,458,0,0,0,0
AFG,2003,110,0,0,0,458,0,0,0,0
AFG,2004,271,0,0,0,459,0,0,0,0
AFG,2005,271,0,0,0,462,0,0,0,0
AFG,2006,271,0,0,0,660,0,0,0,0
AFG,2007,310,0,0,0,692,0,0,0,0
AFG,2008,295,0,0,0,592,0,0,0,0
AFG,2009,193,0,0,0,754,0,0,0,0
AFG,2010,179,0,0,0,803,0,0,0,0
AFG,2011,235,0,0,0,682,0,0,0,0
AFG,2012,194,0,28,0,736,0,0,0,0
AFG,2013,207,0,30,0,855,0,0,0,0
AFG,2014,170,0,32,0,968,0,0,0,0
AFG,2015,147,0,33,0,1001,0,0,0,0
AFG,2016,148,0,39,0,1025,0,0,0,0
AFG,2017,164,0,39,0,1043,0,0,0,0
AFG,2018,193,0,39,0,882,0,0,0,0
AFG,2019,177,0,55,0,1221,0,0,0,0
AFG,2020,156,0,66,0,988,0,0,0,0
AFG,2021,258,0,78,0,849,0,0,0,0
AGO,2000,541,0,0,0,900,180,0,0,0
AGO,2001,652,0,0,0,1010,180,0,0,0
AGO,2002,652,0,0,0,1130,180,0,0,0
AGO,2003,752,0,0,0,1231,180,0,0,0
AGO,2004,559,0,0,0,1730,180,0,0,0
AGO,2005,559,0,0,0,2200,180,0,0,0
AGO,2006,663,0,0,0,2540,180,0,0,0
AGO,2007,763,0,0,0,2880,180,0,0,0
AGO,2008,975,0,0,0,3182,180,0,0,0
AGO,2009,1671,0,0,0,3336,180,0,0,0
AGO,2010,1901,0,0,0,3686,180,0,0,0
AGO,2011,1880,0,0,0,4043,180,0,0,0
