,Entity,Code,Year,other_renewables_consumption_equivalent_twh,biofuels_consumption_twh,solar_consumption_equivalent_twh,wind_consumption_equivalent_twh,hydro_consumption_equivalent_twh,nuclear_consumption_equivalent_twh,gas_consumption_twh,coal_consumption_twh,oil_consumption_twh
5641,South Korea,KOR,1965,0.0,0.0,0.0,0.0,2.100725,0.0,0.0,57.59176,15.124584
5642,South Korea,KOR,1966,0.0,0.0,0.0,0.0,2.9135866,0.0,0.0,65.20941,22.645342
5643,South Korea,KOR,1967,0.0,0.0,0.0,0.0,2.8185163,0.0,0.0,62.20887,39.25714
5644,South Korea,KOR,1968,0.0,0.0,0.0,0.0,2.7484713,0.0,0.0,58.7315,58.039677
5645,South Korea,KOR,1969,0.0,0.0,0.0,0.0,4.2240944,0.0,0.0,61.336617,78.77083
5646,South Korea,KOR,1970,0.0,0.0,0.0,0.0,3.6095493,0.0,0.0,65.46527,98.390976
5588,South Korea,KOR,1971,0.0,0.0,0.0,0.0,3.9031546,0.0,0.0,66.16306,111.123955
5589,South Korea,KOR,1972,0.0,0.0,0.0,0.0,4.045386,0.0,0.0,67.81453,115.992966
5590,South Korea,KOR,1973,0.0,0.0,0.0,0.0,3.798149,0.0,0.0,85.75961,142.77954
5591,South Korea,KOR,1974,0.0,0.0,0.0,0.0,5.6356015,0.0,0.0,88.446144,147.48793
5592,South Korea,KOR,1975,0.0,0.0,0.0,0.0,4.976048,0.0,0.0,93.44705,167.17403
5593,South Korea,KOR,1976,0.0,0.0,0.0,0.0,5.289051,0.0,0.0,104.16991,187.67162
5594,South Korea,KOR,1977,0.0,0.0,0.0,0.0,4.1182847,0.20278583,0.0,113.71813,223.60997
5595,South Korea,KOR,1978,0.0,0.0,0.0,0.0,5.344829,6.5954514,0.0,115.06722,255.6979
5596,South Korea,KOR,1979,0.0,0.0,0.0,0.0,6.789744,8.943574,0.0,137.73409,287.68427
5597,South Korea,KOR,1980,0.0,0.0,0.0,0.0,5.6785283,9.866477,0.0,153.50438,284.98254
5598,South Korea,KOR,1981,0.0,0.0,0.0,0.0,7.6813917,8.220862,0.0,177.29004,282.14676
5599,South Korea,KOR,1982,0.0,0.0,0.0,0.0,5.072307,10.718113,0.0,179.69046,280.0684
5600,South Korea,KOR,1983,0.0,0.0,0.0,0.0,6.783898,25.438486,0.0,191.79149,293.03107
5601,South Korea,KOR,1984,0.0,0.0,0.0,0.0,5.9084873,33.460144,0.0,231.0532,294.2903
5602,South Korea,KOR,1985,0.0,0.0,0.0,0.0,9.417911,47.515152,0.0,256.117,311.11945
5603,South Korea,KOR,1986,0.0,0.0,0.0,0.0,9.195882,80.333496,0.7117558,271.32788,338.9009
